ID;Fornecedor;Série;Número;Parc.;Vencimento;CCL;ObservaçãoOriginal;PLACA TRATATIVA;OPERAÇÃO;TIPO DO VEÍCULO;OBSERVAÇÃO DEFINITIVA;DATA DEFINITIVA MULTA;DATA CRIPTOGRAFADA;Vlr. Total;Vlr. Baixa;Vlr. Saldo;Mês / Ano Venc.
388941;DEPARTAMENTO DE POLICIA FEDERAL - SUPERINTENDENCIA REGIONAL DO MS.;HF;80642;01/01/2025;24/07/2025;MULTAS DE TRÂNSITO;TAI2H64-TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA-26/03/2025 17:40;TAI2H64;JBS S.A. - NOVA ANDRADINA 02.916.265/0202-76;;TRANSITAR EM LOC;26/03/2025;45742;131,46;131,46;0;01/07/2025
388986;DEPARTAMENTO DE ESTRADAS DE RODAGEM;1S;9536442;01/01/2025;24/07/2025;MULTAS DE TRÂNSITO;SFK5C35-DEIXAR DE ADENTRAR AS AREAS DESTINADAS A PESAGEM DE-21/01/2025 07:30;SFK5C35;TEXTIL CANATIBA LTDA 56.723.091/0001-48;;DEIXAR DE ADENTRAR AS AREAS DESTINADAS A PESAGEM DE;21/01/2025;45678;197,18;197,18;0;01/07/2025
388990;MUNICIPIO DE SOROCABA;N;1161391;01/01/2025;24/07/2025;MULTAS DE TRÂNSITO;SFK5C35-MULTA, POR NAO IDENTIFICACAO DO CONDUTOR INFRATOR-09/04/2025 13:16;SFK5C35;TEXTIL CANATIBA LTDA 56.723.091/0001-48;;MULTA, POR NAO IDENTIFICACAO DO CONDUTOR INFRATOR;09/04/2025;45756;262,92;262,92;0;01/07/2025
389001;COMPANHIA DE ENGENHARIA DE TRAFEGO;3TA;1114598;01/01/2025;24/07/2025;MULTAS DE TRÂNSITO;QNX1J76-TRANSITAR NA FAIXA OU VIA EXCLUSIVA REGULAM. P/ TRANSP-05/03/2025 17:54;QNX1J76;TEXTIL CANATIBA LTDA 56.723.091/0001-48;;TRANSITAR NA FAIXA OU VIA EXCLUSIVA REGULAM.;05/03/2025;45721;296,4;296,4;0;01/07/2025
389040;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DO PARANA;Z;723806;01/01/2025;24/07/2025;MULTAS DE TRÂNSITO;DIC4J71-EM MOV DEIX DE MAN ACES LUZ BAIXA DE DIA EM ROD PIS SIMPL SIT -03/06/2025 14:26;DIC4J71;PRATI DONADUZZI E CIA LTDA 73.856.593/0001-66;;EM MOV DEIX DE MAN ACES LUZ BAIXA DE DIA EM ROD PIS SIMPL SIT;03/06/2025;45811;78,1;78,1;0;01/07/2025
389047;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DO PARANA;Z;733910;01/01/2025;24/07/2025;MULTAS DE TRÂNSITO;DIC4J71-EM MOV DEIX DE MAN ACES LUZ BAIXA DE DIA EM ROD PIS SIMPL SIT -11/06/2025 11:27;DIC4J71;PRATI DONADUZZI E CIA LTDA 73.856.593/0001-66;;EM MOV DEIX DE MAN ACES LUZ BAIXA DE DIA EM ROD PIS SIMPL SIT;11/06/2025;45819;78,1;78,1;0;01/07/2025
389500;MUNICIPIO DE BRAGANCA PAULISTA;R;5616781;01/01/2025;29/07/2025;MULTAS DE TRÂNSITO;TBA4H39-TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO  21/02/2025 13:52;TBA4H39;NÃO LOCALIZADA;;TRANSITAR EM LOC;21/02/2025;45709;130,16;130,16;0;01/07/2025
389517;FUNDACAO DEPARTAMENTO DE ESTRADAS DE RODAGEN-RJ FUNDERJ;R;926231804;01/01/2025;29/07/2025;MULTAS DE TRÂNSITO CONTA MOTORISTA;GDI2044-TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA -09/05/2025 05:12;GDI2044;LAR COOPERATIVA AGROINDUSTRIAL - ROLANDIA  77.752.293/0150-39;;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA;09/05/2025;45786;156,18;156,18;0;01/07/2025
389536;AGENCIA NACIONAL DE TRANSPORTES TERRESTRES - ANTT;EPM;35751;01/01/2025;28/07/2025;MULTAS DE TRÂNSITO;FED6G96-TRANSITAR COM O VEICULO COM EXCESSO DE PESO PBT/PBTC-06/04/2025 17:43;FED6G96;TEXTIL CANATIBA LTDA 56.723.091/0001-48;;TRANSITAR COM O VEICULO COM EXCESSO DE PESO P;06/04/2025;45753;81,29;81,29;0;01/07/2025
389818;AGENCIA NACIONAL DE TRANSPORTES TERRESTRES - ANTT;EPM;47477;01/01/2025;29/07/2025;MULTAS DE TRÂNSITO;TAO2J46- TRANSITAR COM VEICULO COM EXCESSO DE PESO-30/05/2025-10:29;TAO2J46;FORTUNCERES S A 298 52.168.923/0013-94;;TRANSITAR COM VEICULO COM EXCESSO DE PESO;30/05/2025;45807;125,41;125,41;0;01/07/2025
